id,region,type,dialect,endpoint,free,legal_status,phone_probability,automation_level,best_for,has_phone,has_email,has_business_name,has_agent,notes
ca_sos_business_entity,California,business_registry,manual_official_lookup,https://bizfileonline.sos.ca.gov/search/business,true,public_official_source,low,manual_official_lookup,"LLC_owned_property,industrial_property",false,false,true,true,"CA SOS business entity search"
tx_sos_business_entity,Texas,business_registry,manual_official_lookup,https://mycpa.cpa.state.tx.us/coa/,true,public_official_source,low,manual_official_lookup,"LLC_owned_property,industrial_property",false,false,true,true,"TX Comptroller business search"
fl_sos_business_entity,Florida,business_registry,manual_official_lookup,https://search.sunbiz.org/,true,public_official_source,low,manual_official_lookup,"LLC_owned_property,industrial_property",false,false,true,true,"FL Sunbiz business search"
ny_sos_business_entity,New York,business_registry,manual_official_lookup,https://apps.dos.ny.gov/publicInquiry/,true,public_official_source,very_low,manual_official_lookup,LLC_owned_property,false,false,true,true,"NY DOS business search"
il_sos_business_entity,Illinois,business_registry,manual_official_lookup,https://apps.ilsos.gov/businessentitysearch/,true,public_official_source,low,manual_official_lookup,LLC_owned_property,false,false,true,true,"IL SOS business search"
az_sos_business_entity,Arizona,business_registry,manual_official_lookup,https://ecorp.azcc.gov/BusinessSearch,true,public_official_source,low,manual_official_lookup,LLC_owned_property,false,false,true,true,"AZ Corp Commission business search"
nv_sos_business_entity,Nevada,business_registry,manual_official_lookup,https://esos.nv.gov/EntitySearch/OnlineEntitySearch,true,public_official_source,low,manual_official_lookup,LLC_owned_property,false,false,true,true,"NV SOS SilverFlume entity search"
chicago_business_licenses,Illinois/Cook County,business_license_dataset,socrata,https://data.cityofchicago.org/resource/r5kz-chrr.json,true,public_official_source,medium,api_queryable,"commercial_property,industrial_property,LLC_owned_property",true,false,true,false,"Chicago business licenses with phone"
nyc_business_licenses,New York/NYC,business_license_dataset,socrata,https://data.cityofnewyork.us/resource/w7w3-xahh.json,true,public_official_source,medium,api_queryable,"commercial_property,industrial_property",true,false,true,false,"NYC legally operating businesses"
la_business_licenses,California/Los Angeles,business_license_dataset,socrata,https://data.lacity.org/resource/cjxs-cthr.json,true,public_official_source,medium,api_queryable,"commercial_property,industrial_property",true,false,true,false,"LA business listings"
chicago_building_permits,Illinois/Cook County,permit_dataset,socrata,https://data.cityofchicago.org/resource/ydr8-5enu.json,true,public_official_source,medium,api_queryable,"industrial_property,renovation_signal",true,false,false,false,"Chicago building permits with contact_phone"
sanfrancisco_business_licenses,California/San Francisco,business_license_dataset,socrata,https://data.sfgov.org/resource/g8m3-pdis.json,true,public_official_source,medium,api_queryable,"commercial_property,industrial_property",true,false,true,false,"SF registered businesses with phone"
seattle_business_licenses,Washington/King County,business_license_dataset,socrata,https://data.seattle.gov/resource/6awm-6ysi.json,true,public_official_source,medium,api_queryable,"commercial_property,industrial_property",true,false,true,false,"Seattle active business licenses"
austin_business_licenses,Texas/Travis County,business_license_dataset,socrata,https://data.austintexas.gov/resource/nguv-e9fu.json,true,public_official_source,low,api_queryable,"commercial_property,industrial_property",false,false,true,false,"Austin business listings"
fl_county_property_appraiser_aggregators,Florida/statewide,state_aggregator,manual_official_lookup,https://floridarevenue.com/property/Pages/DataPortal.aspx,true,public_official_source,none,manual_official_lookup,"parcel_lookup,owner_identity",false,false,false,false,"FL DOR property data portal"
pa_uniform_construction_code_permits,Pennsylvania/statewide,permit_dataset,manual_official_lookup,https://www.dli.pa.gov/ucc/Pages/Plan-Review.aspx,true,public_official_source,very_low,manual_official_lookup,"industrial_property,commercial_property",false,false,false,false,"PA UCC building permits"
detroit_open_data_permits,Michigan/Wayne County,permit_dataset,socrata,https://data.detroitmi.gov/resource/but4-ky7y.json,true,public_official_source,low,api_queryable,"industrial_property,renovation_signal",false,false,false,false,"Detroit building permits"
miamidade_building_permits,Florida/Miami-Dade County,permit_dataset,arcgis,https://services.arcgis.com/8Pc9XBTAsYuxx9Ny/arcgis/rest/services/Building_Permits/FeatureServer/0/query,true,public_official_source,medium,api_queryable,"industrial_property,commercial_property",true,false,false,false,"Miami-Dade building permits with PHONE field"
maricopa_permits,Arizona/Maricopa County,permit_dataset,arcgis,https://gis.mcassessor.maricopa.gov/arcgis/rest/services/MaricopaDynamicQueryService/MapServer/0/query,true,public_official_source,none,api_queryable,"parcel_lookup,owner_identity",false,false,false,false,"Maricopa permits layer 0"
epa_envirofacts,US/nationwide,industrial_environmental,rest_json,https://data.epa.gov/efservice/,true,public_official_source,medium,api_queryable,"industrial_property,manufacturing,warehouse",true,false,true,false,"EPA Envirofacts API with facility phone"
osha_establishment_search,US/nationwide,industrial_safety,rest_json,https://developer.dol.gov/,true,public_official_source,low,api_queryable,"industrial_property,manufacturing,warehouse",false,false,true,false,"OSHA establishment search via DOL API"
